"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5579",-2.12065808016175,0.0813900948039466,-26.0554811401807,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173090374273462,5579
"scaled_rainfall_deviation:factor(COD_MUNI)5585",-2.05166307168767,0.0763179724404369,-26.8830919648568,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000541704238242307,5585
"scaled_rainfall_deviation:factor(COD_MUNI)5591",-2.06789195996705,0.076725391384987,-26.9518593863005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000085260677966682,5591
"scaled_rainfall_deviation:factor(COD_MUNI)5604",-2.17981697345539,0.0853840082952357,-25.529569494069,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133266515541711,5604
"scaled_rainfall_deviation:factor(COD_MUNI)5607",-2.07641918225505,0.0832526638197686,-24.9411740956449,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037096442736292,5607
"scaled_rainfall_deviation:factor(COD_MUNI)5615",-2.1680304276761,0.082944604321077,-26.1382936891674,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199760576329156,5615
"scaled_rainfall_deviation:factor(COD_MUNI)5628",-2.12325016037681,0.0998302122476653,-21.26861310391,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026433699163136,5628
"scaled_rainfall_deviation:factor(COD_MUNI)5642",-2.17385383269584,0.0830834300024959,-26.1647097698126,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100173946511059,5642
"scaled_rainfall_deviation:factor(COD_MUNI)5647",-2.11661067936394,0.0917544542713977,-23.0682062922339,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123150645494153,5647
"scaled_rainfall_deviation:factor(COD_MUNI)5649",-2.05537384502714,0.0728529703331965,-28.2126292946847,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000704235596540801,5649
"scaled_rainfall_deviation:factor(COD_MUNI)5652",-2.07203677085776,0.0711986948576899,-29.1021735019061,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000062273951917587,5652
"scaled_rainfall_deviation:factor(COD_MUNI)5656",-2.05796916273078,0.108360420913095,-18.9918897083399,0.000000000000000000000000000000000000000000000000000000000000000000000000000000022259470186982,5656
"scaled_rainfall_deviation:factor(COD_MUNI)5658",-2.08864508428839,0.0989799688968986,-21.1016946920241,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000909813132751206,5658
"scaled_rainfall_deviation:factor(COD_MUNI)5659",-2.05167092379571,0.0932855027869088,-21.9934594604943,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000406631436205091,5659
"scaled_rainfall_deviation:factor(COD_MUNI)5660",-2.0863394888181,0.0700735925036269,-29.7735482694156,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168468914185379,5660
"scaled_rainfall_deviation:factor(COD_MUNI)5664",-2.11439297086898,0.102009722907654,-20.7273670646382,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000229951761338883,5664
"scaled_rainfall_deviation:factor(COD_MUNI)5665",-2.06523922243651,0.102085533077854,-20.2304788951974,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060959110412184,5665
"scaled_rainfall_deviation:factor(COD_MUNI)5667",-2.07131168721617,0.0734191673827565,-28.2121380704005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000714048740306384,5667
"scaled_rainfall_deviation:factor(COD_MUNI)5670",-2.0728077725187,0.0770522204346002,-26.9013373115969,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000331822178032435,5670
"scaled_rainfall_deviation:factor(COD_MUNI)5674",-2.09087999610959,0.0844184621743747,-24.7680417559688,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000273669170708418,5674
"scaled_rainfall_deviation:factor(COD_MUNI)5679",-2.10635937626614,0.0800589315783397,-26.3101109987336,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000221535615050709,5679
"scaled_rainfall_deviation:factor(COD_MUNI)5686",-2.1068108492879,0.0877445451885178,-24.0107330291752,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000285681237064914,5686
"scaled_rainfall_deviation:factor(COD_MUNI)5690",-2.06771410937224,0.0766852310132939,-26.9636549574166,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000620589707374212,5690
"scaled_rainfall_deviation:factor(COD_MUNI)5697",-2.07667086740218,0.0784372002579174,-26.4755863362495,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282178865959948,5697
"scaled_rainfall_deviation:factor(COD_MUNI)5736",-2.55090269053992,0.0809899150414277,-31.4965473075887,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000224813433296999,5736
"scaled_rainfall_deviation:factor(COD_MUNI)5756",-2.11729704891218,0.0777049263664208,-27.2479126861015,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282109824789647,5756
"scaled_rainfall_deviation:factor(COD_MUNI)5761",-2.10589963783843,0.108234256881628,-19.456867894807,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000288312457579211,5761
"scaled_rainfall_deviation:factor(COD_MUNI)5789",-2.06254775823471,0.0814548841642205,-25.3213515604101,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264455623169057,5789
"scaled_rainfall_deviation:factor(COD_MUNI)5790",-2.22576487905386,0.0763885714009736,-29.1374067904809,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022361112009685,5790
"scaled_rainfall_deviation:factor(COD_MUNI)5792",-2.10787158571728,0.0809706938466589,-26.0325246774979,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314562810678383,5792
"scaled_rainfall_deviation:factor(COD_MUNI)5809",-2.11645699103716,0.0818914452627189,-25.8446652668942,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409455965570573,5809
