"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5686",-2.10686425618077,0.0877446833180637,-24.0113038934068,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000281792780747013,5686
"scaled_rainfall_deviation:factor(COD_MUNI)5690",-2.06778261748696,0.076685343428786,-26.9645087970065,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000606479713874927,5690
"scaled_rainfall_deviation:factor(COD_MUNI)5697",-2.07669500765096,0.0784373292127668,-26.4758505738738,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280213173007488,5697
"scaled_rainfall_deviation:factor(COD_MUNI)5736",-2.55119107196759,0.0809897901087973,-31.5001566066594,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200708154445288,5736
"scaled_rainfall_deviation:factor(COD_MUNI)5756",-2.11733392806622,0.0777050515489019,-27.2483433941707,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027882180100592,5756
"scaled_rainfall_deviation:factor(COD_MUNI)5761",-2.10592830266661,0.10823443549805,-19.4571006258405,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000287008010439085,5761
"scaled_rainfall_deviation:factor(COD_MUNI)5789",-2.0625479968088,0.0814550200338747,-25.3213122524682,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000264718487466542,5789
"scaled_rainfall_deviation:factor(COD_MUNI)5790",-2.2261166869523,0.0763882885234636,-29.1421202121647,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000194960224856503,5790
"scaled_rainfall_deviation:factor(COD_MUNI)5792",-2.10793297095621,0.0809708171242644,-26.0332431587199,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308738342022297,5792
"scaled_rainfall_deviation:factor(COD_MUNI)5809",-2.11651201360421,0.0818915724990007,-25.8452970069666,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000402829615925389,5809
